status,title,year,rating_key,existing_tmdb_id,candidate_tmdb_id,candidate_title,confidence,notes
matched,"1,000 Convicts and a Woman",1971,36435,120894,,,,
matched,2 Fast 2 Furious,2003,39350,584,,,,
matched,2 or 3 Things I Know About Her,1967,42841,8074,,,,
matched,3 Idiots,2009,31432,20453,,,,
matched,3 Women,1977,38442,41662,,,,
matched,4 Little Girls,1997,52076,26580,,,,
matched,"4 Months, 3 Weeks and 2 Days",2007,46836,2009,,,,
matched,The 4:30 Movie,2024,54693,1146556,,,,
matched,The 4th Man,1983,40736,29140,,,,
matched,5 Broken Cameras,2011,52382,84170,,,,
matched,"The 5,000 Fingers of Dr. T.",1953,42058,33743,,,,
matched,8 Mile,2002,40771,65,,,,
matched,8½,1963,38374,422,,,,
matched,9/11,2002,52300,11304,,,,
matched,10 Cloverfield Lane,2016,44997,333371,,,,
matched,10 Dance,2025,55831,1400032,,,,
matched,10 Things I Hate About You,1999,40105,4951,,,,
matched,12 Angry Men,1957,31009,389,,,,
matched,12 Years a Slave,2013,31213,76203,,,,
matched,12th Fail,2023,30779,1163258,,,,
matched,13 Going on 30,2004,46491,10096,,,,
matched,13th,2016,52414,407806,,,,
matched,15 Minutes,2001,53811,2749,,,,
matched,20 Days in Mariupol,2023,52390,1058616,,,,
matched,20th Century Women,2016,45357,342737,,,,
matched,21 Jump Street,2012,42693,64688,,,,
matched,22 Jump Street,2014,45729,187017,,,,
matched,27 Dresses,2008,40848,6557,,,,
matched,28 Days Later,2002,39618,170,,,,
matched,28 Years Later,2025,43966,1100988,,,,
matched,The 36th Chamber of Shaolin,1978,40350,11841,,,,
matched,The 39 Steps,1935,47278,260,,,,
matched,The 40-Year-Old Virgin,2005,45211,6957,,,,
matched,42nd Street,1933,39266,3062,,,,
matched,50 First Dates,2004,43661,1824,,,,
matched,50 Years of Star Trek,2016,40544,411500,,,,
matched,LA 92,2017,52323,450875,,,,
matched,99 Homes,2014,45310,283235,,,,
matched,99 Women,1969,37125,28277,,,,
matched,100 Nights of Hero,2025,55830,1354518,,,,
matched,300,2007,46293,1271,,,,
matched,The 400 Blows,1959,38748,147,,,,
matched,500 Days of Summer,2009,43767,19913,,,,
matched,1001 Nights,1998,47650,42067,,,,
matched,1900,1976,40636,3870,,,,
matched,1917,2019,29168,530915,,,,
matched,1941,1979,40231,11519,,,,
matched,2000 Meters to Andriivka,2025,52419,1400789,,,,
matched,2001: A Space Odyssey,1968,31039,62,,,,
matched,2010: The Year We Make Contact,1984,29465,4437,,,,
matched,À Nous la Liberté,1931,55928,31514,,,,
matched,The ABC of Love and Sex: Australia Style,1978,36391,83878,,,,
matched,Abigail Leslie Is Back in Town,,37123,82135,,,,
matched,About Elly,2009,38645,37181,,,,
matched,About My Father,2023,54056,829051,,,,
matched,About Time,2013,47399,122906,,,,
matched,Accident Man,2018,36790,455236,,,,
matched,Accident Man: Hitman's Holiday,2022,37316,879444,,,,
matched,The Accountant,2016,31757,302946,,,,
matched,The Accountant 2,2025,31583,870028,,,,
matched,The Accursed,1957,41495,186408,,,,
matched,The Accused,1988,41849,10868,,,,
matched,Ace in the Hole,1951,38912,25364,,,,
matched,The Acid Eaters,1968,36401,88580,,,,
matched,The Act of Killing,2012,52369,123678,,,,
matched,Act of Vengeance,1974,31833,66765,,,,
matched,Action of the Tiger,1957,53691,44870,,,,
matched,An Actor's Revenge,1963,42838,27197,,,,
matched,Acts of Vengeance,2017,41508,445954,,,,
matched,Adam's Rib,1949,47377,25431,,,,
matched,The Addams Family,1991,43192,2907,,,,
matched,The Addiction,1995,41619,34996,,,,
matched,Adieu Galaxy Express 999,1981,47914,59717,,,,
matched,The Adult Version of Jekyll & Hide,,37307,92776,,,,
matched,The Adventures of Baron Munchausen,1988,45986,14506,,,,
matched,The Adventures of Barry McKenzie,1972,37233,24084,,,,
matched,The Adventures of Greyfriars Bobby,2005,40692,73772,,,,
matched,The Adventures of Prince Achmed,1926,40742,19354,,,,
